D1,M1,Y1,H1,D2,M2,Y2,H2
10,2,2023,10:20,11,2,2023,01:18
9,2,2023,08:00,10,2,2023,04:30
8,2,2023,08:00,9,2,2023,01:00
7,2,2023,06:00,8,2,2023,03:00
6,2,2023,06:10,6,2,2023,23:00
5,2,2023,07:00,6,2,2023,01:05
4,2,2023,08:50,4,2,2023,22:30
3,2,2023,08:18,4,2,2023,01:51
2,2,2023,07:50,3,2,2023,01:30
1,2,2023,07:19,2,2,2023,01:53
31,1,2023,06:58,1,2,2023,01:05
30,1,2023,08:00,31,1,2023,01:27
29,1,2023,10:00,30,1,2023,02:36
28,1,2023,10:40,28,1,2023,23:50
27,1,2023,07:14,28,1,2023,05:20
26,1,2023,09:50,26,1,2023,23:10
25,1,2023,08:13,26,1,2023,04:10
24,1,2023,07:00,25,1,2023,01:07
23,1,2023,06:00,24,1,2023,02:30
22,1,2023,08:50,23,1,2023,00:40
21,1,2023,08:00,22,1,2023,01:00
20,1,2023,08:00,21,1,2023,01:20
19,1,2023,06:10,20,1,2023,00:30
18,1,2023,09:00,19,1,2023,01:30
17,1,2023,08:20,18,1,2023,00:30
16,1,2023,09:30,17,1,2023,02:55
15,1,2023,08:40,16,1,2023,00:15
14,1,2023,08:40,15,1,2023,03:30
13,1,2023,06:30,13,1,2023,22:22
12,1,2023,06:40,12,1,2023,21:00
11,1,2023,07:15,11,1,2023,23:00
10,1,2023,07:30,11,1,2023,01:11
9,1,2023,07:05,10,1,2023,00:35
8,1,2023,07:00,8,1,2023,23:55
7,1,2023,06:00,7,1,2023,22:22
7,1,2023,01:00,7,1,2023,01:00
5,1,2023,07:00,5,1,2023,23:03
4,1,2023,07:30,5,1,2023,23:00
3,1,2023,07:40,4,1,2023,02:30
