D1,M1,Y1,H1,D2,M2,Y2,H2
10,2,2023,04:30:00,10,2,2023,10:20:00
9,2,2023,01:00:00,9,2,2023,08:00:00
8,2,2023,03:00:00,8,2,2023,08:00:00
6,2,2023,23:00:00,7,2,2023,06:00:00
6,2,2023,01:05:00,6,2,2023,06:10:00
4,2,2023,22:30:00,5,2,2023,07:00:00
4,2,2023,01:51:00,4,2,2023,08:50:00
3,2,2023,01:30:00,3,2,2023,08:18:00
2,2,2023,01:53:00,2,2,2023,07:50:00
1,2,2023,01:05:00,1,2,2023,07:19:00
31,1,2023,01:27:00,31,1,2023,06:58:00
30,1,2023,02:36:00,30,1,2023,08:00:00
28,1,2023,23:50:00,29,1,2023,10:00:00
28,1,2023,05:20:00,28,1,2023,10:40:00
26,1,2023,23:10:00,27,1,2023,07:14:00
26,1,2023,04:10:00,26,1,2023,09:50:00
25,1,2023,01:07:00,25,1,2023,08:13:00
24,1,2023,02:30:00,24,1,2023,07:00:00
23,1,2023,00:40:00,23,1,2023,06:00:00
22,1,2023,01:00:00,22,1,2023,08:50:00
21,1,2023,01:20:00,21,1,2023,08:00:00
20,1,2023,00:30:00,20,1,2023,08:00:00
19,1,2023,01:30:00,19,1,2023,06:10:00
18,1,2023,00:30:00,18,1,2023,09:00:00
17,1,2023,02:55:00,17,1,2023,08:20:00
16,1,2023,00:15:00,16,1,2023,09:30:00
15,1,2023,03:30:00,15,1,2023,08:40:00
13,1,2023,22:22:00,14,1,2023,08:40:00
12,1,2023,21:00:00,13,1,2023,06:30:00
11,1,2023,23:00:00,12,1,2023,06:40:00
11,1,2023,01:11:00,11,1,2023,07:15:00
10,1,2023,00:35:00,10,1,2023,07:30:00
8,1,2023,23:55:00,9,1,2023,07:05:00
7,1,2023,22:22:00,8,1,2023,07:00:00
6,1,2023,01:00:00,6,1,2023,06:00:00
5,1,2023,23:03:00,7,1,2023,01:00:00 
5,1,2023,23:00:00,4,1,2023,07:00:00
4,1,2023,02:30:00,4,1,2023,07:30:00
